Proposal Link,Identified Skills
https://www.nsf.gov/pubs/2015/nsf15505/nsf15505.htm,development; foundation nsf; health; nasa; national institute; national science; nih; robotics; science foundation; united state
https://www.nsf.gov/pubs/2014/nsf14602/nsf14602.htm,dynamic; engineering
https://www.nsf.gov/pubs/2014/nsf14596/nsf14596.htm,intelligent system; project develop
https://www.nsf.gov/pubs/2014/nsf14591/nsf14591.htm,advanced material; computational method; development; discovery; engineering; material; material science; property; science engineering; system design; visual analytics
https://www.nsf.gov/pubs/2014/nsf14581/nsf14581.htm,advance understanding; involving multiple
https://www.nsf.gov/pubs/2014/nsf14577/nsf14577.htm,development; engineering; industry; professional development; science engineering
https://www.nsf.gov/pubs/2014/nsf14545/nsf14545.htm,chemistry; dynamic; modeling
https://www.nsf.gov/pubs/2014/nsf14544/nsf14544.htm,area; characterization evaluation; environmental health; foundation nsf; health; health safety; industrially relevant; industry; industry future; low cost; nanomaterials; nanotechnology; national science; production; science foundation; year
https://www.nsf.gov/pubs/2014/nsf14531/nsf14531.htm,engineering; science engineering
https://www.nsf.gov/pubs/2014/nsf14529/nsf14529.htm,computer information; engineering; information science; national science; science engineering; science foundation; service
https://www.nsf.gov/pubs/2014/nsf14521/nsf14521.htm,area; computational science; data driven; engineering; management; science computer; two year; year
https://www.nsf.gov/pubs/2014/nsf14519/nsf14519.htm,computing information
https://www.nsf.gov/pubs/2014/nsf14516/nsf14516.htm,xps
https://www.nsf.gov/pubs/2014/nsf14514/nsf14514.htm,perception
https://www.nsf.gov/pubs/2014/nsf14504/nsf14504.htm,computer science; theoretical foundation
https://www.nsf.gov/pubs/2013/nsf13599/nsf13599.htm,business; development; small business
https://www.nsf.gov/pubs/2013/nsf13596/nsf13596.htm,chemical; department energy; directorate engineering; doe; energy; engineering; engineering division; foundation nsf; national science; physic; plasma; science engineering; science foundation
https://www.nsf.gov/pubs/2013/nsf13587/nsf13587.htm,development; development human; industry; new technology; technology also
https://www.nsf.gov/pubs/2013/nsf13580/nsf13580.htm,computer graphic; four year; intelligent system; project develop; review process; year
https://www.nsf.gov/pubs/2013/nsf13574/nsf13574.htm,development; property
https://www.nsf.gov/pubs/2013/nsf13570/nsf13570.htm,biomedical; biomedical science; health; national institute; national science; science foundation; statistic; support interface
https://www.nsf.gov/pubs/2013/nsf13564/nsf13564.htm,directorate engineering; energy; engineering; foundation nsf; national science; science foundation
https://www.nsf.gov/pubs/2013/nsf13563/nsf13563.htm,computing information
https://www.nsf.gov/pubs/2013/nsf13561/nsf13561.htm,area; development; distribution technology; industry; production
https://www.nsf.gov/pubs/2013/nsf13558/nsf13558.htm,engineering; material; science engineering; support effort
https://www.nsf.gov/pubs/2013/nsf13545/nsf13545.htm,area; foundation nsf; national science; science foundation; year
https://www.nsf.gov/pubs/2013/nsf13543/nsf13543.htm,area; clinical practice; decision support; development; foundation nsf; health; learning; machine learning; modeling; national institute; national science; nih; process modeling; science foundation; support system
https://www.nsf.gov/pubs/2013/nsf13539/nsf13539.htm,computer information; engineering; information science; national science; science engineering; science foundation; service
https://www.nsf.gov/pubs/2013/nsf13538/nsf13538.htm,general
https://www.nsf.gov/pubs/2013/nsf13537/nsf13537.htm,brown jr; earthquake engineering; engineering; engineering simulation; foundation nsf; george brown; jr network; national science; network earthquake; science foundation
https://www.nsf.gov/pubs/2013/nsf13531/nsf13531.htm,energy; energy transport
https://www.nsf.gov/pubs/2013/nsf13510/nsf13510.htm,discovery
https://www.nsf.gov/pubs/2013/nsf13507/nsf13507.htm,high performance
https://www.nsf.gov/pubs/2013/nsf13502/nsf13502.htm,general
https://www.nsf.gov/pubs/2013/nsf13500/nsf13500.htm,engineering; science engineering
https://www.nsf.gov/pubs/2012/nsf12614/nsf12614.htm,social science
https://www.nsf.gov/pubs/2012/nsf12610/nsf12610.htm,advance understanding; engineering; science engineering
https://www.nsf.gov/pubs/2012/nsf12607/nsf12607.htm,application area; area; development; foundation nsf; health; nasa; national institute; national science; nih; robotics; science foundation; united state
https://www.nsf.gov/pubs/2012/nsf12598/nsf12598.htm,composition; experimental study; material; physic; property; theoretical experimental; wave propagation
https://www.nsf.gov/pubs/2012/nsf12597/nsf12597.htm,communication; development; engineering; science technology
https://www.nsf.gov/pubs/2012/nsf12593/nsf12593.htm,foundation nsf; material; national science; science foundation
https://www.nsf.gov/pubs/2012/nsf12583/nsf12583.htm,area; directorate engineering; engineering; national science; science foundation
